Data File,Model,EB,CTX,PDT,Success,Error Message,csv_size,bin_size,compressed_size,sz3_size,zstd_size,is_accurate,compression_time_sz3,compression_time_zstd,compression_time_debug,decompression_time,zstd_error_size,df_entropy,df_min,df_max,df_mean,df_variance,error_entropy,error_min,error_max,error_mean,error_variance,mean_absolute_error,mean_squared_error,RRMSE,RMSE,RMAE
smart,0,1e-06,256,1,True,,267583,103676,75638,92776,92640,True,0.09595632553100586,0.023154020309448242,316.1111035346985,314.7858576774597,95408,14.643661416482082,0.0008,9.580184,0.80524653,0.47808647,14.582352823856521,-6.915835,8.826177,0.107110254,0.22614928,0.69813627,0.8153859,0.60536087,0.3664618,0.5542624
smart,0,1e-06,512,1,True,,267583,103676,76226,92776,92640,True,0.05915045738220215,0.012826919555664062,312.04327845573425,308.9921486377716,94353,14.629159928648058,0.0008,9.580184,0.80425996,0.4809595,14.56618054107566,-5.931645,8.763923,0.11490867,0.22167757,0.68935126,0.77901,0.6025985,0.36312494,0.5528712
sceaux,0,0.1,128,1,True,,328246,136892,19474,15604,24613,True,0.03780031204223633,0.08512377738952637,370.192245721817,374.13872838020325,19911,14.456343488334584,0.124,6.560533,1.08234,0.786874,3.3804182214111673,-4.3,5.1,0.20622084,0.41483003,0.8761192,1.3013505,0.62483305,0.39041635,0.63533145
sceaux,0,0.1,256,1,True,,328246,136892,19705,15604,24613,True,0.12206602096557617,0.1572129726409912,423.31763219833374,419.64473390579224,19702,14.452341468982544,0.124,6.560533,1.0811175,0.7849844,3.3428528382217317,-4.5,4.7,0.19456825,0.39692953,0.88654935,1.3203785,0.60990906,0.37198904,0.62756634
sceaux,0,0.1,512,1,True,,328246,136892,20419,15604,24613,True,0.04881763458251953,0.0779716968536377,414.87098598480225,408.3856179714203,19463,14.443396432695087,0.124,6.560533,1.0765673,0.7766313,3.31841633516581,-4.3,4.3,0.18270892,0.3825763,0.89385843,1.3352959,0.5990789,0.35889554,0.623249
sceaux,0,0.01,128,1,True,,328246,136892,35759,31881,48321,True,0.046309471130371094,0.04867434501647949,375.63868737220764,372.0975830554962,39934,14.456343488334584,0.124,6.560533,1.08234,0.786874,6.456083237831918,-4.45,5.05,0.21931279,0.4246864,0.8630273,1.270145,0.635284,0.40358576,0.6237226
sceaux,0,0.01,256,1,True,,328246,136892,36597,31881,48321,True,0.05951285362243652,0.08296728134155273,421.8007607460022,415.5877254009247,39648,14.452341468982544,0.124,6.560533,1.0811175,0.7849844,6.414489791674636,-4.49,4.49,0.20049019,0.40228647,0.8806274,1.3082683,0.6152835,0.3785738,0.61317813
sceaux,0,0.01,512,1,True,,328246,136892,37201,31881,48321,True,0.047974586486816406,0.08122134208679199,418.06049275398254,412.7438156604767,39149,14.443396432695087,0.124,6.560533,1.0765673,0.7766313,6.3820478419591105,-4.37,4.25,0.18418351,0.3844888,0.8923838,1.3356398,0.6008431,0.36101237,0.6060478
sceaux,0,0.001,128,1,True,,328246,136892,50658,62594,71514,True,0.04704427719116211,0.056416988372802734,373.47791385650635,371.55658888816833,61792,14.456343488334584,0.124,6.560533,1.08234,0.786874,9.720613017532017,-4.469,5.053,0.21836136,0.42569017,0.8639786,1.2722288,0.63567847,0.40408713,0.62389004
sceaux,0,0.001,256,1,True,,328246,136892,50829,62594,71514,True,0.07856154441833496,0.07684493064880371,420.5412828922272,417.2880365848541,61352,14.452341468982544,0.124,6.560533,1.0811175,0.7849844,9.66946945652526,-4.447,4.491,0.20105933,0.4028426,0.8800582,1.3072827,0.6158288,0.37924516,0.6128469
sceaux,0,0.001,512,1,True,,328246,136892,51207,62594,71514,True,0.057024478912353516,0.03280806541442871,419.68501567840576,408.914288520813,60728,14.443396432695087,0.124,6.560533,1.0765673,0.7766313,9.637912923831859,-4.365,4.213,0.18336599,0.384681,0.89320123,1.3370361,0.60076535,0.36091897,0.60572433
sceaux,0,0.0001,128,1,True,,328246,136892,62034,117471,95333,True,0.05866718292236328,0.027932405471801758,375.29881620407104,371.7328305244446,87840,14.456343488334584,0.124,6.560533,1.08234,0.786874,12.63258540944926,-4.4689,5.0533,0.21826044,0.42528924,0.86407954,1.2724414,0.6353796,0.40370727,0.62372136
sceaux,0,0.0001,256,1,True,,328246,136892,61979,117471,95333,True,0.16852784156799316,0.05051016807556152,420.4064939022064,416.70544028282166,87240,14.452341468982544,0.124,6.560533,1.0811175,0.7849844,12.594620169441844,-4.4277,4.4905,0.20123535,0.40281186,0.8798823,1.3065852,0.61585665,0.37927943,0.61302197
sceaux,0,0.0001,512,1,True,,328246,136892,62454,117471,95333,True,0.0520319938659668,0.028341054916381836,416.6136665344238,414.0990388393402,86345,14.443396432695087,0.124,6.560533,1.0765673,0.7766313,12.565694820162495,-4.3651,4.2127,0.1833988,0.38505092,0.8931685,1.3369803,0.6010395,0.36124852,0.6059423
sceaux,0,1e-05,128,1,True,,328246,136892,80190,117471,109697,True,0.06571435928344727,0.02517843246459961,374.9276669025421,367.7951729297638,114405,14.456343488334584,0.124,6.560533,1.08234,0.786874,14.416386978401329,-4.46879,5.05321,0.21819106,0.42548838,0.864149,1.2729453,0.63549304,0.4038514,0.6237024
sceaux,0,1e-05,256,1,True,,328246,136892,78918,117471,109697,True,0.1187906265258789,0.05588078498840332,424.4900770187378,418.3487422466278,113794,14.452341468982544,0.124,6.560533,1.0811175,0.7849844,14.396272289625195,-4.42773,4.49053,0.20118675,0.40292716,0.87993085,1.3065324,0.61592317,0.37936136,0.6129305
sceaux,0,1e-05,512,1,True,,328246,136892,80155,117471,109697,True,0.06714105606079102,0.025013208389282227,415.65742897987366,415.2723717689514,112741,14.443396432695087,0.124,6.560533,1.0765673,0.7766313,14.373269667050236,-4.33795,4.21261,0.18350178,0.3847127,0.8930656,1.3361888,0.6008239,0.3609893,0.6058381
sceaux,0,1e-06,128,1,True,,328246,136892,102116,117471,110553,True,0.05618858337402344,0.024851083755493164,377.8475663661957,371.9344880580902,127341,14.456343488334584,0.124,6.560533,1.08234,0.786874,14.97483770410485,-4.468799,5.053215,0.21812817,0.4254641,0.86421186,1.2730215,0.6354583,0.40380722,0.6237222
sceaux,0,1e-06,256,1,True,,328246,136892,101534,117471,110553,True,0.0923614501953125,0.043476104736328125,421.29327178001404,419.9697434902191,126803,14.452341468982544,0.124,6.560533,1.0811175,0.7849844,14.964396864638042,-4.427721,4.490533,0.201151,0.4029724,0.87996656,1.3066028,0.6159446,0.37938777,0.61296076
sceaux,0,1e-06,512,1,True,,328246,136892,101912,117471,110553,True,0.08660554885864258,0.02639627456665039,419.43396043777466,415.25107407569885,125759,14.443396432695087,0.124,6.560533,1.0765673,0.7766313,14.949091165685447,-4.337943,4.212613,0.18353306,0.3847834,0.8930343,1.3362845,0.6008829,0.36106023,0.6058605
