Data File,Model,EB,CTX,PDT,Success,Error Message,csv_size,bin_size,compressed_size,sz3_size,zstd_size,is_accurate,compression_time_sz3,compression_time_zstd,compression_time_debug,decompression_time,zstd_error_size,df_entropy,df_min,df_max,df_mean,df_variance,error_entropy,error_min,error_max,error_mean,error_variance,mean_absolute_error,mean_squared_error,RRMSE,RMSE,RMAE
smart,0,0.1,256,1,True,,267583,103676,12087,11406,17540,skipped,0.05220198631286621,0.1356196403503418,310.6590735912323,0,12230,14.643661416482082,0.0008,9.580184,0.80524653,0.47808647,2.6695103672999028,-6.9,8.5,0.09723336,0.22332866,0.70814455,0.8460003,0.59916544,0.35899925,0.573311
smart,1,0.1,256,1,True,,267583,103676,12342,11406,17540,skipped,0.04288649559020996,0.09454846382141113,303.1236605644226,0,12180,14.643661416482082,0.0008,9.580184,0.80524653,0.47808647,2.6350665717138027,-6.7,6.9,0.08422631,0.2141143,0.7211686,0.8839847,0.58407944,0.3411488,0.56563777
smart,2,0.1,256,1,True,,267583,103676,12177,11406,17540,skipped,0.05706501007080078,0.1103672981262207,396.5569643974304,0,12071,14.643661416482082,0.0008,9.580184,0.80524653,0.47808647,2.6135088666827406,-6.7,6.9,0.08665004,0.2091052,0.71878105,0.88282937,0.57798135,0.33406243,0.5628075
smart,3,0.1,256,1,True,,267583,103676,12239,11406,17540,skipped,0.09576892852783203,0.13138198852539062,732.2702267169952,0,12033,14.643661416482082,0.0008,9.580184,0.80524653,0.47808647,2.5951063111247286,-7.1,6.9,0.08590188,0.19861352,0.7194887,0.88497156,0.5636338,0.31768304,0.55845726
smart,0,0.01,256,1,True,,267583,103676,25737,23247,35125,skipped,0.0533604621887207,0.0611109733581543,299.97494626045227,0,27530,14.643661416482082,0.0008,9.580184,0.80524653,0.47808647,5.889342931353498,-6.91,8.77,0.10699957,0.22423999,0.698247,0.8144235,0.60289365,0.36348078,0.5545883
smart,1,0.01,256,1,True,,267583,103676,25610,23247,35125,skipped,0.048320770263671875,0.08148884773254395,299.2721326351166,0,27385,14.643661416482082,0.0008,9.580184,0.80524653,0.47808647,5.842176622832368,-6.91,6.95,0.091762066,0.21002471,0.71348447,0.8674761,0.5804197,0.33688703,0.5441103
smart,2,0.01,256,1,True,,267583,103676,25555,23247,35125,skipped,0.04622817039489746,0.06490969657897949,392.2173352241516,0,27314,14.643661416482082,0.0008,9.580184,0.80524653,0.47808647,5.823220626758634,-6.71,7.17,0.09168492,0.21067043,0.7135617,0.876058,0.5812582,0.3378611,0.54172784
